COMPETIDOR,NOMBRE_LOCAL,DIRECCIÓN,LATITUD,LONGITUD
Makro,Makro Cercado de Lima,Jr. Manuel del Mar y Bernedo S/N Lote A,-6.766592,-79.8654464
Makro,Makro Chimbote,"Av. Los pescadores s/n zona lotización Gran Trapecio Parcela 3, Mz. C.",,
Makro,Makro San Martin de Porres,PLAZA CENTER REX,-6.76107405,-79.8632827
Makro,Makro Cañete,Parcela 6 del proyecto Chilca - San Vicente de Cañete,-6.76107405,-79.8632827
Makro,Makro Huacho,"AV. PANAMERICANA CRUCE CON AV. SAN MARTIN – SANTA MARIA, HUACHO, LIMA",-6.76107405,-79.8632827
Makro,Makro Ica,AV. NICOLÁS DE RIVERO EL VIEJO 1105 - ICA,,
Makro,Makro Chincha,CARRETERA PANAMERICANA SUR KM. 195 - Chincha,-6.76107405,-79.8632827
Makro,Makro Huancayo,"AV. PROLONGACIÓN JOSÉ CARLOS MARIATEGUI S/N, HUANCAYO, HUANCAYO",-6.76107405,-79.8632827
Makro,Makro Sullana,ZONA INDUSTRIAL MUNICIPAL N2 MZE Lt2,,
Makro,Makro Textil - Piura,"AV. SÁNCHEZ CERRO SUB LOTE B, 1A DISTRITO 26 DE OCTUBRE",,
Makro,Makro Sánchez Cerro - Piura,AV. SANCHEZ CERRO S/N,-6.76107405,-79.8632827
Makro,Makro El Bosque - Trujillo,"AV. INDUSTRIAL CRUCE CON AV. FEDERICO VILLAREAL – EL BOSQUE, TRUJILLO,",-6.76107405,-79.8632827
Makro,Makro La Esperanza - Trujillo,"AV. NICOLAS DE PIEROLA CON AV. MICAELA BASTIDAS , TRUJILLO",-6.76107405,-79.8632827
Makro,Makro Chiclayo,"AV. JORGE BASADRE #299 ,CHICLAYO",-6.76107405,-79.8632827
Makro,Makro Cusco,PROLONGACIÓN AV DE LA CULTURA 2620 CUSCO,-6.76107405,-79.8632827
Makro,Makro Yanahuara - Arequipa,"AV. METROPOLITANA 63, DISTRITO YANAHUARA, AREQUIPA",-6.76107405,-79.8632827
Makro,Makro El Avelino - Arequipa,"AV. AVELINO CACERES S/N , DISTRITO DE BUSTAMANTE Y RIVERO, AREQUIPA",-6.76107405,-79.8632827
Makro,Makro Comas,"AV. CHACRA CERRO S/N LOTE 115, LIMA",-6.76107405,-79.8632827
Makro,Makro San Juan de Lurigancho,"AV. GRAN PAJATÉN CRUCE CON JR. SANTUARIO, LIMA, LIMA",-6.76107405,-79.8632827
Makro,Makro Zárate,"URB. PARCELACIÓN RÚSTICA ZÁRATE, MZ B LT 23",-6.76107405,-79.8632827
Makro,Makro Chorrillos,"AV. DEFENSORES DEL MORRO, CUADRA 11 s/n. Urbanización Fundo Villa, Cho",,
Makro,Makro Villa el Salvador,"Cruce Panamericana Sur con Av. Mateo Pumacahua, LIMA",-6.76107405,-79.8632827
Makro,Makro Independencia,"C.C. PLAZA NORTE, AV. TOMÁS VALLE CON PANAMERICANA NORTE ,  LIMA,",-6.76107405,-79.8632827
Makro,Makro Santa Anita,"CARRETERA CENTRAL # 345 KM 1 -  ( A 1 CDRA.DEL ÓVALO SANTA ANITA ),  L",-6.76107405,-79.8632827
Makro,Makro Surco,"AV. JORGE CHÁVEZ N.1218,  LIMA,",-6.76107405,-79.8632827
Makro,Makro Callao,"AV. ELMER FAUCETT (ENTRE LA AV. COLONIAL Y AV. ARGENTINA ),  LIMA,  LI",-6.76107405,-79.8632827
